inscription_id,meta_name,meta_trait,high_res_img_url,collection_page_img_url
0cf328808554e33bb21d53c13972d7d3cb150d765731577bf2f69eb360153d06i0,100023.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0ad3367ca697d5f21d2a2a0f5f202b9221c8696c8c216729b27dc86ed85b3d3di0,100024.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
749b0125020fc3b773640c1fbc40caa73c7b96ae249cb47e1900f1716ff6d3dai0,100025.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
8caba838e309b3b0dadd647832c489dda1c3fb918cc0ef6659fa9f5ecd2a604ci0,100026.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
332a7fed02266c6fa5d480d5032d46366e28755f7ba8d92db2be60c1939985b2i0,100027.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
55c656fbcf05b5be2ae1990dc8b14aa548e94787b4358219564a2fd1160bdf29i0,100028.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
fc04e5c4a0058f1a5b9f4a6e0dfb6a253104772b62d6d9eb230161e4825b9490i0,100029.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
c712b238dc3b17bd206f5cb48a9944e0c3953124635b3fcdbafa9d811dc04722i0,100030.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
8c2248bcb157a9516ecf7d011c3c4c4db6552a2bc77d9fe0790e3d46dc2bd668i0,100031.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
d391b60a2947394efc4ce7909bf02b80ea524c60e8cc3549b7dc345ad51ec7a6i0,100032.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
