inscription_id,meta_name,meta_trait,high_res_img_url,collection_page_img_url
6fcd1f93af1537fd364f3577f22baa616d476c503f1f7ead354d87404d330d55i0,800000.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
0164ec26d580340fced70ce40b2e6eefc20ef15713c8c2ce7cb29b83652a966bi0,800001.bitnats,0x20,https://github.com/BitGnat/bitnats/blob/main/images/0x20.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
104e2ac4d01beb52e55cb31852cdd1ea5ecdae99565bab9acf27e6b1f5d4703bi0,800002.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
8f20e5dcfb0a9245d463ba7b9279449d36d9afec0214fe08384a01e375f82d60i0,800004.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
b49e3dfeefa80d0a996d5c4db44dbccea5e801c141461e7897c561d22e2c0478i0,800006.bitnats,0x20,https://github.com/BitGnat/bitnats/blob/main/images/0x20.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
a3066a47b627d0c59d4bca929a16d6b81eb6d2b772de44e4ee34155da917eb22i0,800007.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
76eb67083825b7f535c9c9b193bbb1ec3887106e7145f177558d9098dd019b66i0,800008.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
18bc0d092c2364de79b76836a4728a08f858d14afd44dc07be5a785b3b5a5d98i0,800009.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
882e50fbc08628597a69c042c2cc346b8cb9a9109e37640c71c689951a417286i0,800010.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
d58c04c14d0d8bf7bc02af8c639c03a8b9015cdcb4a4cc6dc18623455768625bi0,800011.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
c78beccf99a83fd6e83659b8c3ea878fbdf0877d94fba3178b12086f8cc6f5bdi0,800012.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
3fb0827b8f6beec2919aa1ddab44aa0bfd72265a119d7a3f2a6b79a5e0fcb95ei0,800013.bitnats,0x19,https://github.com/BitGnat/bitnats/blob/main/images/0x19.png,https://github.com/BitGnat/bitnats/blob/main/images/0.png
